,0
117,"['rt', 'nebasark', 'since', 'independence', 'day', 'ud83cuddecud83cudded', 'let', 'enjoy', 'dope', 'freestyle', 'video', 'ghana', 'history', 'great', 'grand', 'father', 'strongmau2026']"
118,"['rt', 'gangstergang', 'bgm', 'nanbans', 'sanda', 'podama', 'jollya', 'enjoy', 'pannunka', 'da', 'ud83dudcafud83dudcafud83dudcafud83dudcafud83dudcafud83dudcafud83dudcafud83dudcafud83dudcafud83dudcafud83dudcafnnanbans', 'h_i_j_a_c_k_e_r', 'itz_varunitz_pou2026']"
119,"['yu2019all', 'think', 'iu2019m', 'ever', 'gon', 'na', 'get', 'iu2019m', 'enjoy']"
120,"['rexthetvterrier', 'thats', 'one', 'momss', 'choices', 'thingenjoy', 'ud83dudc8b']"
121,"['rt', 'visionadesigns', 'wire', 'wiregage', 'nhd', 'httpstcorle0bykgugnenjoy', 'httpstcogobwd4lmpq']"
122,"['rt', 'twatch_me_', 'shouldnt', 'enjoy', 'isolation', 'much', 'world', 'much']"
123,"['rt', 'supangelica', 'anyways', 'feel', 'super', 'cute', 'today', 'ofc', 'canu2019t', 'get', 'pics', 'enjoy', 'httpstco3u7y22occy']"
124,"['rt', 'vasuki00pakathu', 'veetu', 'aunty', 'semmaya', 'enjoy', 'panra', 'ba', 'ud83dude18ud83dude18ud83dude18ud83dude18daily', 'ud83dude0dud83dude0dud83dude0dud83dude0dnrt_cmt_follow', 'httpstcoobojeszeqx']"
125,"['edfphotos', 'ettin6arthur_affect', 'milesparks', 'oh', 'well', 'enjoy', 'decent', 'discussion', 'rather', 'rabid', 'hatred', 'ud83dude0e']"
126,"['rt', 'alx', 'please', 'enjoy', 'compilation', 'hypocritical', 'mainstream', 'media', 'saying', 'chinesewuhan', 'coronavirusnnthey', 'calling', 'itu2026']"
127,['morningnnu3069u3093u3069u3093u5ef6u671fu304cu6c7au307eu3063u3066u3044u304fu3002nu30a2u30ebu30bcu30f3u30c1u30f3gpu3082u5ef6u671fu3068u767au8868u3055u308cu305fu3002nmotogpu597du304du306au8eabu3068u3057u3066u306fu6b8bu5ff5u3067u306au3089u306au3044u3002u3002u3002nu305du308cu3067u3082u4e16u754cu304cu8eabu8fd1u306au3093u3060u306au3068u611fu3058u308bu4e8bu3067u306fu3042u308bu306du3002u4ecau8d77u3053u3063u3066u308bu4e8bu306fu30d5u30a3u30afu30b7u30e7u30f3u3058u3083u306au3044u3002nu3067u304du308bu4e8bu3092u3084u3063u3066u3044u3053u3046u3002nnu4ecau65e5u3082enjoy']
128,"['hope', 'enjoy', 'years', 'dt']"
129,"['follow', 'us', 'enjoy', 'bring', 'engine', 'fire', 'enginefireon', 'httpstcof3y3nh7scor', 'httpstcodor5wo4qnq']"
130,"['rt', 'tangledoian', 'ud835udcc3ud835udcb6ud835udcc9ud835udccaud835udcc7ud835udc5ud835udcc1ud835udc5cud835udccbud835udc52ud835udccx', 'ethandolannnenjoy', 'p', 'httpstco8bauxew1ju']"
131,"['mmm', 'really', 'enjoying', 'salads', 'lately', 'like', 'include', 'tomatoes']"
132,"['rt', 'omarabushaib', 'trying', 'go', 'day', 'enjoy', 'lifenncoronavirus', 'httpstcouyzsmceitf']"
133,"['rt', 'renjunsaries', 'enjoy', 'watching', 'jisung', 'cut', 'dance', 'practice', 'much', 'like', 'really', 'nailed', 'thatn', 'httpstcojbkqhphqsf']"
134,"['females', 'like', 'bitch', 'bye', 'enjoy', 'yo', 'day', 'bitch', 'u', 'jus', 'ruined', 'day', 'tf', 'u', 'mean']"
135,"['actually', 'enjoy', 'huntnnim', 'finding', 'many', 'awesome', 'pieces', 'track', 'sauce', 'u202httpstco4f9eu89sj8']"
136,"['usually', 'enjoy', 'listening', 'gersnet', 'podcast', 'canu2019t', 'stand', 'stewart', 'guy', 'could', 'take', '20mins', 'time']"
