0,['hey\\ud83d\\ude0btoday'],['prepared'],['hot'],['\\ud83d\\udd25game'],['private'],['messages\\ud83d\\udc8c\\ud83e\\udd2d\\ud83e\\udd2b\\ud83d\\udc45\\ud83c\\udf46'],"[""'ll""]",['wait'],['you\\ud83d\\udca6\\ud83d\\ude08\\ud83d\\udc8b\\ud83d\\udd1e\\ud83d\\udc4subscribe'],,,,,,,,,,,,,,
104,['feels'],['like'],['today'],['might'],['last'],['\\u2018normal\\u201day'],['anxious'],['don\\u2019t'],['forget'],['risk'],,,,,,,,,,,,,
105,['great'],['deal'],['mummies'],"[""''""]",,,,,,,,,,,,,,,,,,,
106,['happy'],['bihday'],,,,,,,,,,,,,,,,,,,,,
107,['downtrend'],['moving'],['average'],['convergence'],['divergence'],['macd'],['histogram'],['turned'],['negative'],['view'],['odds'],['th\\u202'],,,,,,,,,,,
108,['baker'],['vs'],['valley'],['catholic'],['||'],['today'],"[""'s""]",['oregon'],['high'],['school'],['girls'],['basketball'],['live'],['stream\\n\\n\\u21ewatch'],['live\\u1d34\\u1d3'],,,,,,,,
109,['today'],"[""'s""]",['to-do'],['list\\u2714\\u2714\\n\\n1'],['official'],['account'],['tagging'],['\\nplease'],['write'],['letter'],['xwith'],['sentence'],['\\u2018let'],['us'],['meet'],['as\\u2026'],"[""''""]",,,,,,
110,['great'],['deal'],['mummies'],"[""''""]",,,,,,,,,,,,,,,,,,,
111,['bipaisan'],['prep'],['act'],['would'],['expand'],['medical'],['professionals\\u201access'],['vitally-needed'],['respirators'],['creat\\u2026'],"[""''""]",,,,,,,,,,,,
112,['white'],['blood'],['cells'],['fighting'],['corona'],"[""''""]",,,,,,,,,,,,,,,,,
113,['breaking'],['public'],['gatherings'],['25people'],['international'],['events'],['cmo'],['also'],['advises'],['that\\u2026'],"[""''""]",,,,,,,,,,,,
114,['hopimie'],['~~~'],['enjoy'],['today'],['\\ud83d\\udc9a'],"[""''""]",,,,,,,,,,,,,,,,,
