,0
115,"['getting', 'kids', 'sport', 'good', 'healthy', 'living', 'happy', 'amazing', 'shampoo', 'httpstconfet7p9s24']"
116,"['mom', 'walked', 'arcade', '31basketball', 'jersey', 'happy', '31day', 'everyone']"
117,"['rt', 'tropaldubcavite', 'letu2019s', 'mga', 'k', 'adn', 'ud83dude4fud83dude4fud83dude4fud83dude4fnhappy', 'aldubxadn243rdweeksary', 'naldubftnqt', 'nsalvesayson', 'nwengcookie', 'niam_ginghs', 'nalduu2026']"
118,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
119,"['everyone', 'say', 'happy', 'birthday', 'hrh', 'prince', 'dickhead']"
120,"['rt', 'liltunechi9u', 'wan', 'na', 'happy', 'u', 'got', 'ta', 'let', 'shit', 'go', 'amp', 'let', 'shit']"
121,"['rt', 'anilsharma_dir', 'one', 'thing', 'makes', 'u', 'happy', 'u', 'go', 'towards', 'town', 'mumbai']"
122,"['rt', 'keelyhuurst', 'enjoy', 'money', 'hope', 'makes', 'u', 'happy', 'dear', 'lord']"
123,"['_nininibear', 'happy', 'birthday', 'hope', 'u', 'enjoy', 'rest', 'ur', 'day', 'ud83cudf89ud83cudf88']"
124,"['_shaiikhha', 'happy', 'birthday', 'beautifully', 'girl', 'enjoy', 'r', 'day', 'mixu2764ufe0fu2764ufe0fu2764ufe0fu2764ufe0f']"
125,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
126,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
127,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
128,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
129,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
130,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
131,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
132,"['rt', 'kylndrglve', 'broke', 'could', 'surprise', 'last', 'birthday', 'celebration', 'hell', 'enter', 'seminary', 'happy', 'birthdu2026']"
133,"['rt', 'asettesoldi', 'im', 'really', 'happy', 'oscar']"
134,"['rt', 'asettesoldi', 'im', 'really', 'happy', 'oscar']"
135,"['ac_assettocorsa', 'happiest', 'day', 'life', 'im', 'happy']"
136,"['denise', 'curse', 'gone', 'advantagegeddon', 'gone', 'least', 'one', 'week', 'good', 'happy', 'survivor']"
137,"['rt', 'indecisivejones', 'alanis', 'morissette', 'want', 'know', 'im', 'happy', 'younnex', 'boyfriend', 'aww', 'nnalanis', 'morissette', 'wish', 'nothingu2026']"
138,"['rt', 'kolbierashell', 'attractive', 'thing', 'goofiness', 'wan', 'na', 'spend', 'rest', 'life', 'genuinely', 'happy', 'making', 'lau2026']"
139,"['rt', 'austinalyn_', 'super', 'happy', 'say', 'ive', 'accepted', 'dream', 'school', 'ohio', 'state', 'university', 'newark', 'campus', 'growing', 'obsu2026']"
140,"['rt', 'jhabashy1iu2019m', 'happy', 'see', 'egyptians', 'taking', 'epidemic', 'seriously', 'httpstcodguamaphib']"
141,"['australia', 'newsouthwales', 'canberra', 'victoria', 'even', 'perth', 'happy', 'guys', 'httpstco8dzv80460s']"
142,"['misstabstevens', 'brenthatley', 'twitch', 'twitchprime', 'happy', 'best']"
